Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
11/8/2020,859.1,864.7,856.4,861.6,860.90,11.30,1.33%,"140,749","280,238",U20
13/8/2020,868.5,875.5,867.3,874.0,873.90,13.00,1.51%,"128,285","285,055",U20
14/8/2020,874.0,874.7,854.0,855.8,856.80,-17.10,-1.96%,"188,126","295,113",U20
17/8/2020,861.9,862.5,851.3,854.4,855.10,-1.70,-0.20%,"147,103","289,176",U20
18/8/2020,852.5,866.1,851.9,865.9,865.80,10.70,1.25%,"150,329","298,579",U20
19/8/2020,866.0,867.0,841.4,845.5,845.80,-20.00,-2.31%,"205,806","301,755",U20
20/8/2020,835.6,840.8,831.6,836.0,836.00,-9.80,-1.16%,"191,281","306,140",U20
21/8/2020,838.8,842.9,833.6,836.6,836.90,0.90,0.11%,"143,603","303,391",U20
24/8/2020,842.9,851.0,836.2,850.4,849.30,12.40,1.48%,"165,940","310,961",U20
25/8/2020,853.5,858.9,849.0,850.3,850.50,1.20,0.14%,"133,952","318,245",U20
26/8/2020,850.0,855.3,845.1,854.4,854.00,3.50,0.41%,"173,588","329,341",U20
27/8/2020,852.4,858.0,849.7,856.0,855.80,1.80,0.21%,"140,028","336,076",U20
28/8/2020,862.0,864.5,848.0,850.1,850.70,-5.10,-0.60%,"186,420","345,491",U20
31/8/2020,855.3,858.7,841.0,841.1,841.90,-8.80,-1.03%,"183,000","353,456",U20
1/9/2020,841.7,846.5,835.0,839.7,839.90,-2.00,-0.24%,"197,416","350,831",U20
2/9/2020,839.7,846.7,833.6,846.3,845.70,5.80,0.69%,"167,453","342,939",U20
3/9/2020,850.9,851.3,838.4,844.0,843.70,-2.00,-0.24%,"182,523","346,459",U20
8/9/2020,836.7,838.3,829.4,830.6,831.20,-12.50,-1.48%,"172,963","342,183",U20
9/9/2020,821.0,831.9,818.1,831.5,831.50,0.30,0.04%,"174,634","345,837",U20
10/9/2020,830.0,833.4,824.3,829.0,828.80,-2.70,-0.32%,"146,296","347,169",U20
11/9/2020,828.0,832.9,821.6,823.0,823.20,-5.60,-0.68%,"161,832","346,553",U20
14/9/2020,828.0,829.0,817.0,818.0,818.30,-4.90,-0.60%,"158,942","346,507",U20
15/9/2020,818.5,827.7,818.1,827.0,826.70,8.40,1.03%,"173,174","348,423",U20
16/9/2020,827.0,831.7,823.5,830.6,830.30,3.60,0.44%,"126,856","343,625",U20
17/9/2020,825.0,827.8,820.6,826.2,826.00,-4.30,-0.52%,"145,060","345,201",U20
18/9/2020,827.6,829.1,820.7,829.0,828.70,2.70,0.33%,"155,461","333,782",U20
21/9/2020,828.0,829.9,814.5,815.5,815.90,-12.80,-1.54%,"166,425","331,138",U20
22/9/2020,811.4,813.8,804.5,809.0,809.20,-6.70,-0.82%,"176,362","316,039",U20
23/9/2020,807.5,809.1,800.6,801.7,801.50,-7.70,-0.95%,"141,124","310,199",U20
24/9/2020,793.2,794.8,781.7,784.6,785.30,-16.20,-2.02%,"201,969","307,800",U20
25/9/2020,787.9,791.2,782.2,784.1,784.00,-1.30,-0.17%,"232,179","266,103",U20
28/9/2020,790.5,800.8,789.2,799.7,798.80,14.80,1.89%,"196,131","95,151",U20
29/9/2020,801.5,803.0,794.1,794.8,794.76,-4.04,-0.51%,"39,907","33,257",U20
30/9/2020,796.9,797.0,777.7,778.4,778.60,-15.30,-1.93%,"205,170","388,233",Z20
1/10/2020,783.3,787.2,775.0,785.8,785.60,7.00,0.90%,"180,892","390,078",Z20
2/10/2020,781.9,782.0,770.3,776.1,775.90,-9.70,-1.23%,"215,726","389,305",Z20
5/10/2020,781.7,782.0,775.5,780.5,780.10,4.20,0.54%,"129,824","393,194",Z20
6/10/2020,784.2,786.8,781.5,784.0,784.50,4.40,0.56%,"153,471","405,570",Z20
7/10/2020,780.8,795.7,778.5,794.0,793.70,9.20,1.17%,"189,216","410,703",Z20
